Name,Type,DataValueField,DataSource,QuartersLabel,Category,Title,Params,Description
RecentPeopleExtraFieldChanged,Bit,,, Field,ExtraValues,Recent Extra Value Changed,"Days,Quarters",Select number of days to lookback and enter Field name of Extra value. Shows those whom that Field has been recently updated.
FamilyExtra,CodeStr,,FamilyExtraValues,,ExtraValues,FamilyExtra Value Code,,Select the Extra Value Code from the list
FamilyExtraData,String,,, Name,ExtraValues,FamilyExtra Value Text,Quarters,Enter the Field Name and enter all or part of the value along with a Comparison.
FamilyExtraDate,Date,,, Name,ExtraValues,FamilyExtra Value Date,Quarters,Enter the Field Name and pick a date and a Comparison.
FamilyExtraInt,NullInteger,,, Name,ExtraValues,FamilyExtra Value Int,Quarters,Enter the Field Name and enter all or part of the value (must be an integer) along with a Comparison.
HasFamilyExtraField,StringEqual,,,,ExtraValues,Has FamilyExtra Value Field,,Enter the Field Name and a Comparison.
DaysSinceExtraDate,Integer,,,Field,ExtraValues,Days Since Extra Value Date,Quarters,Enter the Extra Value Field Name and the number of days.
IncludeDeceased,Bit,,,,Miscellaneous,Included Deceased,,"Specify True or False to include deceased people in your query. (By default, deceased are not included.)"
ParentsOf,Bit,,,,Miscellaneous,Parents Only,,Specify True or False to include only Primary Adults.
PlusParentsOf,Bit,,,,Miscellaneous,Add Primary Adults,,Specify True or False to Add Primary Adults.
StatusFlag,CodeStr,CodeValue,StatusFlags,,Miscellaneous,Status Flag,,Select Status Flags from the list (computed in nightly batch from saved searches).
QueryTag,CodeStr,CodeValue,QueryTags,,Miscellaneous,Query Tag,,Select Query Tags from the list
RecentFlagAdded,CodeStr,CodeValue,StatusFlags,,Miscellaneous,Recent Flag Added,Days,Select Status Flags from the list (computed in nightly batch from saved searches) and enter days to look back.
HasCurrentTag,Bit,,,,Miscellaneous,Active Tag,,Specify True or False for those who are in your Active Tag.
HasMyTag,Bit,,,,Miscellaneous,Tagged with,Tags,Select Tag from the list.
HasMemberDocs,Bit,,,,Miscellaneous,Has Membership Documents,,Specify True or False for those with uploaded Membership Documents.
EntryPointId,NullCode,,EntryPoints,,Miscellaneous,Entry Point,,Select Entry Point from the list.
OriginId,NullCode,,Origins,,Miscellaneous,Record Origin,,Select Record Origin from the list.
InterestPointId,NullCode,,InterestPoints,,Miscellaneous,Interest Point,,Select Interest Point from the list.
MemberAnyChurch,NullBit,,,,Miscellaneous,Member of Any Church,,Specify True or False for those with this box checked on their Growth tab.
SavedQuery,Bit,,,,Miscellaneous,Saved Searches,SavedQueryIdDesc,Select a Saved Search from the list and specify True or False.
InSqlList,Bit,,,Sql Script,Miscellaneous,In Sql List,Quarters,Specify the name of a Sql script file to get PeopleIds from
RecActiveOtherChurch,Bit,,,,Miscellaneous,Reg Other Church,,Specify True or False for those who indicated during an online registration that they attend another church.
RecInterestedCoaching,Bit,,,,Miscellaneous,Reg Interested Coaching,,Specify True or False for those who indicated during an online registration that they (or their parents) are interested in coaching.
InOneOfMyOrgs,Bit,,,,Miscellaneous,In one of my organizations,,Specify True or False for those enrolled in organizations in which you are enrolled.
CheckInVisits,Integer,,,,Miscellaneous,Number of visits,,Enter a number of visits along with a Comparison for guests who used Building Checkin.
MedicalLength,Integer,,,,Miscellaneous,Length of Medical / Allergies Info,,Enter a number of characters and select a Comparison.
HasFailedEmails,Bit,,,,Miscellaneous,Has Failed Emails,StartDate,Select a StartDate or Leave blank
FirstPersonSameEmail,EqualBit,,,,Miscellaneous,First Person of Same Email,,Returns only one person of many who have same email
DaysSinceDate,Integer,,,,Miscellaneous,Days Since Date,StartDate,Enter a Date along with a number of Days.
DaysSinceDateField,DateField,Code,DateFields,,Miscellaneous,Days Since Date Field,Days,Select the Compared to Field from the list along with a number of Days.
OrgFilter,Bit,,,,Admin,,,For internal use only
UserRole,Code,,UserRolesMyData,,Admin,User In Role,,Select User Role from the list.
IsUser,Bit,,,,Admin,Is System User,,Specify True or False for those with user accounts.
CreatedBy,String,,,,Admin,Record Created By User,,"Enter a Comparison and all or part of a Last Name (or Last Name, a comma and a First Name)."
CreatedDate,Date,,,,Admin,Record Created On Date,,Select a Comparison and pick a date.
RecentCreated,Bit,,,,Admin,Recent Created Record,Days,Enter a number of days to look back and Specify True or False.
RecentChanged,Bit,,, Field,Admin,Recent Changed Record,"Quarters,Days","Enter Field (or just first part of field), a number of days to look back and Specify True or False."
IsCurrentPerson,Bit,,,,Admin,Is Current Person,,"Specify True or False for person last viewed (used internally, but you can use it if you find a need for it)"
IsCurrentUser,Bit,,,,Admin,Is Current User,,"Specify True or False for Current User (used internally, but you can use it if you find a need for it)"
DuplicateEmails,Bit,,,,Admin,Duplicate Emails,,Specify True or False for records with the same email.
DuplicateNames,Bit,,,,Admin,Duplicate Names,,Specify True or False for records with the same First and Last Name.
HasLowerName,Bit,,,,Admin,Has Lowercase Name,,Specify True or False for records with First or Last name starting with a lowercase letter.
PeopleIds,StringEqual,,,,Admin,Has One Of PeopleIds,,Enter People ID numbers separated by a comma.
MatchAnything,EqualBit,,,,Admin,Select Condition,,This condition is always true (used internally).
MatchNothing,EqualBit,,,,Admin,Match Nothing,,This condition is always false (used internally).
HasOptoutsForEmail,StringEqual,,,,Admin,Has Email Optouts for address,EndDate,Enter email address (leave value blank for any optout address) and pick an end date for those who opted out before that date (or leave date blank).
HasOpenedEmail,IntegerEqual,,,,Admin,Opened Email,,Enter Email ID number.
HasSpamBlock,Bit,,,,Admin,Has Spam Block,,Has Reported as Spam
PeopleId,Integer,,,,Admin,,,"For internal use, but you can enter a People ID number."
